Column/Variable,Data Type,Units/Contents,Description,,,,,,,,,,,
CSV file: catch_loach_data.csv,,,,,,,,,,,,,,
study,Text,Not applicable,Which project the line of data is associated with. ,,,,,,,,,,,
round,Number,"NA, 1, 2, 3, Extra_1, Extra_2",Which trapping round the line of data is associated with. ,,,,,,,,,,,
site_name,Text,Not applicable,Name of site where minnow traps were set.,,,,,,,,,,,
trap_name,Text,Not applicable,Name of trap. ,,,,,,,,,,,
habitat_type,Text,Not applicable,"Designated whether sample site was a water canal (""canal"") or permanent/semi-permanent water habitat (""pond"").",,,,,,,,,,,
trap_num,Number,Not applicable,Number associated with trap. ,,,,,,,,,,,
latitude,GPS,Decimal degrees (DD),Latitude of trap site and/or individual trap recorded with a Garmin Montana 680t.,,,,,,,,,,,
longitude,GPS,Decimal degrees (DD),Longitude of trap site and/or individual trap recorded with a Garmin Montana 680t.,,,,,,,,,,,
date_set,Date,Month/Day/Year (e.g. 5/15/2024),Date the trap was set. ,,,,,,,,,,,
time_set,Time,UTC (e.g. 3 pm equals 15:00),Time the trap was set. ,,,,,,,,,,,
date_pulled,Date,Month/Day/Year (e.g. 5/15/2024),Date the trap was removed and checked.,,,,,,,,,,,
time_pulled,Time,UTC (e.g. 3 pm equals 15:00),Time the trap was removed and checked.,,,,,,,,,,,
total_time_fished,Number,Minutes (min),Total time in minutes between trap set and trap removed.,,,,,,,,,,,
loach_captured,Number,Not applicable,Total number of loaches caught per trap,,,,,,,,,,,
dissolved_oxygen,Number,Milligrams per Liter (mg/L),The milligrams of gaseous oxygen dissolved in a liter of water (mg/L) as measured mid water column at the sample site with a YSI PRO2030.,,,,,,,,,,,
conductivity,Number,Microsiemens per centimeter (µS/cm),Conductivity (µS/cm) is a measure of the waters ability to conduct electric current or to transport an electric charge. Water was sampled mid column at sample sites with a YSI PRO2030.,,,,,,,,,,,
temperature,Number,Celsius (°C),Temperature (C) of the water mid column at the sample site measured with a YSI PRO2030.,,,,,,,,,,,
turbidity,Number,Nephelometric Turbidity Unit (NTU),The measure of suspended particles in NTUs of the surface water at the sample site using a Hach 2100Q portable Turbidity Meter.,,,,,,,,,,,
depth,Number,Meters (m),Overall depth of the sample site in meters (m) as measured by a 0.1 m increment marked wooden pole for the pilot study and a Global Water FP111 Flow Probe for the Main Study,,,,,,,,,,,
velocity,Number,Meters per second (m/s),How fast the water was flowing at the sampling site before the first trap was set as measured with a Global Water FP111 Flow Probe for the Main Study. Velocity was not measured for Pilot Study.,,,,,,,,,,,
notes,Text,Not applicable,Trap specific notes.,,,,,,,,,,,
,,,,,,,,,,,,,,
CSV file: loach_length_data.csv,,,,,,,,,,,,,,
study,Text,Not applicable,Which project the line of data is associated with. ,,,,,,,,,,,
round,Number,"NA, 1, 2, 3, Extra_1, Extra_2",Which trapping round the line of data is associated with. ,,,,,,,,,,,
site_name,Text,Not applicable,Name of site where minnow traps were set.,,,,,,,,,,,
trap_name,Text,Not applicable,Name of trap,,,,,,,,,,,
habitat_type,Text,Not applicable,"Designated whether sample site was a water canal (""canal"") or permanent/semi-permanent water habitat (""pond"").",,,,,,,,,,,
trap_num,Number,Not applicable,Number associated with trap. ,,,,,,,,,,,
latitude,GPS,Decimal degrees (DD),Latitude of trap site and/or individual trap recorded with a Garmin Montana 680t.,,,,,,,,,,,
longitude,GPS,Decimal degrees (DD),Longitude of trap site and/or individual trap recorded with a Garmin Montana 680t.,,,,,,,,,,,
date_set,Date,Month/Day/Year (e.g. 5/15/2024),Date the trap was set. ,,,,,,,,,,,
time_set,Time,UTC (e.g. 3 pm equals 15:00),Time the trap was set. ,,,,,,,,,,,
date_pulled,Date,Month/Day/Year (e.g. 5/15/2024),Date the trap was removed and checked.,,,,,,,,,,,
time_pulled,Time,UTC (e.g. 3 pm equals 15:00),Time the trap was removed and checked.,,,,,,,,,,,
species_name,Text,Not applicable,The common species name of the fish captured in the study's trapping efforts.,,,,,,,,,,,
species_code,Text,Not applicable,The species abbreviation used in the Lodi Fish and Wildlife Office's (LFWO) databases.,,,,,,,,,,,
total_length,Number,Millimeters (mm),The measured total length in mm of each individual loach,,,,,,,,,,,
notes,Text,Not applicable,Trap specific notes.,,,,,,,,,,,
,,,,,,,,,,,,,,
CSV file: eDNA_detections_site_data.csv,,,,,,,,,,,,,,
study,Text ,Not applicable,Which project the line of data is associated with. ,,,,,,,,,,,
round,Number,"NA, 1, 2, 3",Which trapping round the line of data is associated with. ,,,,,,,,,,,
site_name,Text,Not applicable,Name of site where eDNA was taken/ minnow trap(s) were set.,,,,,,,,,,,
habitat_type,Text,Not applicable,"Designated whether sample site was a water canal (""canal"") or permanent/semi-permanent water habitat (""pond"").",,,,,,,,,,,
latitude,GPS,Decimal degrees (DD),Latitude of eDNA site recorded with a Garmin Montana 680t.,,,,,,,,,,,
longitude,GPS,Decimal degrees (DD),Longitude of eDNA site recorded with a Garmin Montana 680t.,,,,,,,,,,,
date,Date,"Month/Date/Year (e.g., 5/15/2024)",Date eDNA sample was taken in triplicate (three eDNA filters per site collected).,,,,,,,,,,,
sampled_eDNA,Text,Yes or No,Indicates whether eDNA was sampled at sample site before trap was set (Y) or not (N).,,,,,,,,,,,
detection,Text,"Yes, No, or NA",Did laboratory genetic tests indicate that loach eDNA was present in at least one of the three filters from the associated site.,,,,,,,,,,,
trapped,Text,Yes or No,Indicates whether a site was trapped or not. ,,,,,,,,,,,
dissolved_oxygen,Number,Milligrams per Liter (mg/L),The milligrams of gaseous oxygen dissolved in a liter of water (mg/L) as measured mid water column at the sample site with a YSI PRO2030.,,,,,,,,,,,
conductivity,Number,Microsiemens per centimeter (µS/cm),Conductivity (µS/cm) is a measure of the waters ability to conduct electric current or to transport an electric charge. Water was sampled mid column at sample sites with a YSI PRO2030.,,,,,,,,,,,
temperature,Number,Celsius (°C),Temperature (C) of the water mid column at the sample site measured with a YSI PRO2030.,,,,,,,,,,,
turbidity,Number,Nephelometric Turbidity Unit (NTU),The measure of suspended particles in NTUs of the surface water at the sample site using a Hach 2100Q portable Turbidity Meter.,,,,,,,,,,,
