projectID,project_type,extraction_order,date,name,filter_replicate,FilterID,vol_filtered_ml,location,location_broad,extraction_date,lat,lon,control,month,year,lc_in_water,field_notes,dist_lc_m,lc_deploy_time,lc_remove_time,lc_spp_1,lc_spp_2,spp_1_wt_g,spp_2_wt_g,vel_m_s,vel_ft_sec,turb_ntu,depth_m,technical_replicate,Cq,relative_conc_ng/uL,target
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,20,2/28/2023,FLDCT,1,20230228FLDCT1,NA,Large Channel,San Luis Wildlife Refuge,3/2/2023,NA,NA,Control,March,2023,NA,NA,Field Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,20,2/28/2023,FLDCT,1,20230228FLDCT1,NA,Large Channel,San Luis Wildlife Refuge,3/2/2023,NA,NA,Control,March,2023,NA,NA,Field Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,20,2/28/2023,FLDCT,1,20230228FLDCT1,NA,Large Channel,San Luis Wildlife Refuge,3/2/2023,NA,NA,Control,March,2023,NA,NA,Field Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,48,2/28/2023,FLDCT,2,20230228FLDCT2,NA,Small Channel,San Luis Wildlife Refuge,3/3/2023,NA,NA,Control,March,2023,NA,NA,Field Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,48,2/28/2023,FLDCT,2,20230228FLDCT2,NA,Small Channel,San Luis Wildlife Refuge,3/3/2023,NA,NA,Control,March,2023,NA,NA,Field Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,48,2/28/2023,FLDCT,2,20230228FLDCT2,NA,Small Channel,San Luis Wildlife Refuge,3/3/2023,NA,NA,Control,March,2023,NA,NA,Field Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,8,2/28/2023,LC 100m,A,20230228LC 100mA,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,2,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,8,2/28/2023,LC 100m,A,20230228LC 100mA,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,3,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,8,2/28/2023,LC 100m,A,20230228LC 100mA,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,1,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,9,2/28/2023,LC 100m,B,20230228LC 100mB,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,3,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,9,2/28/2023,LC 100m,B,20230228LC 100mB,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,2,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,9,2/28/2023,LC 100m,B,20230228LC 100mB,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,1,40,0,ANCH
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA Calibration,10,2/28/2023,LC 100m,C,20230228LC 100mC,70,Large Channel,San Luis Wildlife Refuge,3/2/2023,37.1760013,-120.7620042,Sample,March,2023,Yes,Waited 1hr20mins after deployment before starting sampling,100,0.440972222,0.548611111,BHOO,ANCH,100,18,0.1,0.33,58.2,Too deep to stand,3,40,0,ANCH
