projectID,project_type,extraction_order,date,site_name,filter_replicate,FilterID,vol_filtered_ml,location,location_broad,extraction_date,lat,lon,control,month,year,field_notes,technical_replicate,Cq,target,relative_conc_ng/uL,relative_conc_weighted_by_vol
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,1,3/14/2023,EXCT,1,20230314 EXCT 1,NA,Extraction Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,1,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,1,3/14/2023,EXCT,1,20230314 EXCT 1,NA,Extraction Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,2,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,1,3/14/2023,EXCT,1,20230314 EXCT 1,NA,Extraction Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,3,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,2,3/12/2023,FLDCT,NA,20230312 FLDCT,500,Field Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,1,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,2,3/12/2023,FLDCT,NA,20230312 FLDCT,500,Field Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,2,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,2,3/12/2023,FLDCT,NA,20230312 FLDCT,500,Field Control,Control,3/14/2023,NA,NA,Control,March,2023,NA,3,40,LSL/FSL,0,NA
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,3,3/12/2023,4R,A,20230312 4R A,500,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,1,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,3,3/12/2023,4R,A,20230312 4R A,500,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,2,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,3,3/12/2023,4R,A,20230312 4R A,500,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,3,40,LSL/FSL,0,0
FWSLOD-2023-Loach Removal San Luis Refuge,eDNA,4,3/12/2023,4R,B,20230312 4R B,525,4R,San Luis Wildlife Refuge,3/14/2023,37.231237,-120.812954,Sample,March,2023,NA,3,35.94794464,LSL/FSL,2.34E-05,4.45E-08
