projectID,project_type,extraction_order,date,site_name,filter_replicate,FilterID,vol_filtered_ml,location,location_broad,extraction_date,control,month,year,field_notes,technical_replicate,Cq,target,relative_conc_ng/uL,relative_conc_weighted_by_vol
FWSLOD-2022-Loach pilot study,eDNA,56,3/21/2022,A7R,1,20220321A7R1,50,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,1,33.79138947,LSL/FSL,7.80E-05,1.56E-06
FWSLOD-2022-Loach pilot study,eDNA,73,3/28/2022,L11R,1,20220328L11R1,125,L11R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,1,34.96215057,LSL/FSL,3.54E-05,2.83E-07
FWSLOD-2022-Loach pilot study,eDNA,87,3/28/2022,L16R,3,20220328L16R3,75,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,3,35.3665657,LSL/FSL,2.69E-05,3.59E-07
FWSLOD-2022-Loach pilot study,eDNA,87,3/28/2022,L16R,3,20220328L16R3,75,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,1,35.3970871,LSL/FSL,2.64E-05,3.52E-07
FWSLOD-2022-Loach pilot study,eDNA,56,3/21/2022,A7R,1,20220321A7R1,50,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,3,35.51632309,LSL/FSL,2.43E-05,4.87E-07
FWSLOD-2022-Loach pilot study,eDNA,86,3/28/2022,L16R,2,20220328L16R2,100,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,1,35.66329956,LSL/FSL,2.20E-05,2.20E-07
FWSLOD-2022-Loach pilot study,eDNA,86,3/28/2022,L16R,2,20220328L16R2,100,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,2,35.69906616,LSL/FSL,2.15E-05,2.15E-07
FWSLOD-2022-Loach pilot study,eDNA,63,3/28/2022,L17R,3,20220328L17R3,125,L17R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,3,35.70832443,LSL/FSL,2.14E-05,1.71E-07
FWSLOD-2022-Loach pilot study,eDNA,87,3/28/2022,L16R,3,20220328L16R3,75,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,2,35.75522232,LSL/FSL,2.07E-05,2.76E-07
FWSLOD-2022-Loach pilot study,eDNA,57,3/21/2022,A7R,2,20220321A7R2,50,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,1,35.85776138,LSL/FSL,1.93E-05,3.87E-07
FWSLOD-2022-Loach pilot study,eDNA,58,3/21/2022,A7R,3,20220321A7R3,75,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,1,35.89805603,LSL/FSL,1.88E-05,2.51E-07
FWSLOD-2022-Loach pilot study,eDNA,57,3/21/2022,A7R,2,20220321A7R2,50,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,3,35.90458679,LSL/FSL,1.87E-05,3.75E-07
FWSLOD-2022-Loach pilot study,eDNA,22,3/15/2022,WP6R,3,20220315WP6R3,150,WP6R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,36.03765106,LSL/FSL,1.71E-05,1.14E-07
FWSLOD-2022-Loach pilot study,eDNA,73,3/28/2022,L11R,1,20220328L11R1,125,L11R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,3,36.04417038,LSL/FSL,1.70E-05,1.36E-07
FWSLOD-2022-Loach pilot study,eDNA,3,3/14/2022,WP1R,2,20220314WP1R2,200,WP1R,San Luis Wildlife Refuge,5/6/2022,Sample,March,2022,NA,3,36.12353134,LSL/FSL,1.62E-05,8.08E-08
FWSLOD-2022-Loach pilot study,eDNA,75,3/28/2022,L11R,3,20220328L11R3,150,L11R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,3,36.13238525,LSL/FSL,1.61E-05,1.07E-07
FWSLOD-2022-Loach pilot study,eDNA,56,3/21/2022,A7R,1,20220321A7R1,50,A7R,San Luis Wildlife Refuge,5/9/2022,Sample,March,2022,NA,2,36.19446182,LSL/FSL,1.54E-05,3.08E-07
FWSLOD-2022-Loach pilot study,eDNA,85,3/28/2022,L16R,1,20220328L16R1,100,L16R,San Luis Wildlife Refuge,5/11/2022,Sample,March,2022,NA,2,36.19668579,LSL/FSL,1.54E-05,1.54E-07
